Title,Rating,Body
Very good,5.0,"I have never had a chrome book but since it’s made by Samsung it’s awesome because all my devices in my house is a Samsung, and before I always use Microsoft but this laptop is awesome I like it the screen is bright Very easy to work with the mouse is very loose and easy to navigate. It’s not a touchscreen but I still know how to use the arrow up an arrow down or you can go to the right side and scroll while pressing down the left click and scroll down. Plus the battery life is very good I charged it when I received it and it’s been a week and it’s still full."
Easy to travel with,4.0,"I just needed something I could use to do research as I write where ever I go. It is easy to travel with. It's not the best screen resolution, but I only use it for writing so I'm not complaining. It's not touch screen which I knew before buying. Battery life is pretty great. I write and have multiple screens up online for hours and the battery is barely affected. I only chose this chromebook because I have a lot of other Samsung devices and they easily connect together. As far as everything else the laptop can offer I have no clue. But if you are looking for the bare minimum, I would recommend."
I love chrome book! I couldn’t see myself using another computer!,5.0,"I loved everything about the chrome book from how easy & fast the setup was to how user friendly it has been since. I bought it for a podcast I plan on starting soon & it’s been awesome so far. This computer can handle anything you can possibly throw at it. I have my recording software downloaded straight from google play & I’ve been doing all my research on it as well as watching Disney+ on it. I wish the speakers were a little louder, but aside from that this is the best computer I’ve ever owned & you’d never know it was used!"
Not bad value.,4.0,"In a way, it almost feels like a retro laptop. The screen is kinda lousy, and it certainly isn't HD. But that gives it an old school laptop feel. Reminds me of the computer I used in grad school. For the money, it is hard to beat. Very hard. But, if you're going to watch a lot of movies, I would not recommend it."
Does not have two usb ports has 1 c 1 usb,3.0,Lack of a caps button have to use shift key this is harder for children online. Only has one port usb regular. Has one c port for charger.
"Great, light machine in its price range",5.0,"Although the screen is nothing to write home about, the machine is well-built, has a sturdy feel, and is very lightweight. With 6GB of RAM everything works quickly and smoothly, and you could have more than a dozen tabs open without a slowdown. The machine will also get automatic security OS updates from Google until June of 2026. Overall, I would highly recommend this Chromebook."
Broke within a month,2.0,"It worked fine for a month, then my cat on the keyboard and it died. I'm sure I'm not supposed to let her do that, but cats will be cats. I learned my lesson and will go back to a traditional laptop that can handle my cat's adoration."
Love It‼,5.0,"I must admit when originally purchased last year, I rant the Chromebook was too small. Since, I use more and more, pleased. Just needed to give it a try, now use more often❤"
Nice feel,4.0,I really got into touch screen because most small tablets have poor feeling keys and a so so mouse pad. This tablet has a great feeling keyboard allowing easy touch tryping. The mouse pad also is nice to use so I find myself not touching the screen as often. So far I really like this tablet. Plenty of USB sockets allow use of accessories and of course the Chrome operating system keeps me secure. Latest computer allows download of Android apps.
"This is a great, affordable Chromebook",5.0,"My 13 year old son got this (a bit late, my fault, not Amazon's) for Christmas.  He LOVES it.  Perfect for him to browse the internet or play Roblox.  It's nice and light, very portable.  We opted for the 6 GB of RAM version, as I like more RAM.  Overall, happy with the purchase and it arrived in a very timely manner, even with covid!"
Great laptop!,5.0,"Great laptop for my 9 year old! He hasn’t put it down since he got it as a Christmas present loves to use it for games and also uses it for his schoolwork. The size is perfect lightweight and very durable, the graphics are just fine for a middle quality laptop it’s not the best it’s definitely not the cheapest it’s just a nice quality affordable laptop for everyday use and I will definitely recommend."
Works for remote school and netflix,5.0,"Bought two of these for kids to do remote school from -- does exactly that -- only infrequent issues that are easily solvable. Bought for 7th and 9th grader and it fulfills its mission. Also good for netflix (screen quality isn't great -- but for 9th grader, watching in her own room, that's not a concern) and general web browsing, email, etc."
Mini laptop,4.0,"So I saw the reviews for this and the laptop does everything it says its gona do the only thing that sucks is the screen quality or volume if your watching youtube music videos but it's very good if your just taking notes, and use it for work or school."
Buyer Beware,2.0,Bought 2 of these for my kids. worked great for 4 months for school. One of the two stopped charging one day. Factory reset did not work. it is not the charger as both chargers charge my other identical chromebook. Buyer beware. lasts just past the 90 day return window and then died. Wonder how long the other one would last for?
Lots of issues,1.0,Ist time user of Chromebook op system. Bought it for my wife thinking it would be easier than a Microsoft pc....no way... currently experiencing audio issues. Only works with headphones  Will possibly return ... If possible...
Do not buy. This product is defective and has a history of battery issues.,1.0,"I bought this for my son to use at school. Within 2 weeks, the battery stopped charging. I should have returned it immediately but figured it was an easy fix and took it to a repair shop. Due to supply chain issues, it took them about 2 more weeks to get a new battery. When I got it back, it worked for another day before  having the same issue again.We looked online and apparently, this is a common problem with this computer.Because I tried to have it repaired myself we'd passed the 30 day return window, so Amazon wasn't obligated to accept a return. And the seller refused to engage. Ultimately, Amazon did take it back, although they didn't have to (thank you, Amazon).So just don't buy this computer, despite all the favorable reviews online."
good value,4.0,"A fairly good travel and casual use machine for the money. Battery life is noting like the advertisement, I have not seen over six hours at best."
Great value but screen is horrible,3.0,Great value but screen is horrible
Not what advertised!,1.0,Product is not what was advertised or described. This is not a touchscreen chrome book. Overpriced for what I received. Very disappointed!
Very nice but cannot install windows on it.,4.0,This is a very nice chrome book. Unfortunately I did not know you cannot use windows with it so I returned it. On start up it prompts everything you need for start up to make it easy. After several hours of use we found that we could not install windows and wife needs windows for work. This is unfortunate because this was so fast. Would recommend if you do not need windows.
Backup laptop for teaching online support.,4.0,"Great little laptop! Functional with no frills, 6gb ram helps it along a bit. I bet it outlast my surface book by several years! (I actually love the Surface books - but didn't want to shell out that kinda money for a backup machine). As long as you have reasonable expectations it's GREAT."
"Very suitable for most internet users, no touch screen, printer and mouse concern. No file password",3.0,"Chromebook does not work with older printer, Canon MX922.Only one USB port, so mouse might occupy that.Google Docs does not have the ability to password protect files.No touch screen.Still very useful for internet, searches, email, web activity.Can download apps like Android."
Love this little ChromeBook,5.0,"I love this little laptop. It does what I need it too. it is nothing compared to my macbook Pros. But it is very good for surfing the web and playing a couple basic games. For 6 GB RAM, this is a  very affordable option. But it's still cheap enough to where it wouldn't be a huge deal if it got stolen."
Value for Money,5.0,"This is exactly what a $170 laptop should be. Tablets cannot replace desktop-capable devices for browser and file needs. This is essentially a tablet with more functionality in that regard. The commenters with complaints about the screen aren’t wrong, but did you spend $1K? $500? Even $200? No. You spent $170, and you received one of the absolute least expensive laptops out there. If you want a beautiful display, look elsewhere. This laptop does a great job for those who need more functionality than a tablet can provide, at the lowest possible price-point."
Black Screen,1.0,Black Screen after 15 minutes of use unable to reboot after 10 tries battery was fully charged.  Used the return Process to take it to an Amazon Return center within my local Kohls store so far no further updates and no refund has appeared yet in my gift card account after nearly a week.  My patience for the Amazon return process is running thin
Don’t Buy This it sucks,1.0,I bought this brand new not even a whole yr ago and already the charging port and the there is NO HDMI slot also it’s telling my My Chrome system is corrupted somehow and I have to HARD RESET mind You I bought a Refurbished Chromebook from Wish more than 2 yrs ago and it still works great a lil age but perfect so DONT BUY THIS also Screen has no grip so it will flop freely with movement
Stop working in less than 4 months,1.0,The screen went blank suddenly and would not work again. It was plug in with 100% full battery charged. Really disappointed with this Samsung quality.
Worth the money,4.0,"You get what you pay for.  It is worth the cost, but the screen view is poor, the keyboard is not lit, and the built-in word processor is lacking."
Best Chromebook I have Owned,5.0,"I have owned 2 prior Chromebooks. This is by far the best - faster speed, better screen, better sound and feels more solid. This forth generation model is better in every way over my previous third generation model."
Great while it lasted - a whopping 5 months,1.0,"It was fine for what I needed it for, just used it for building inventory and spreadsheets for work. One day it updated, and wasn't turning on here and there. 2nd week after update it just wouldn't turn on at all. Bought it in October and got it near the end of the month, and it died the Second week of March. So 270+ for 5 months of a laptop/chromebook only used with google sheets is extremely disappointing."
Not as good as Amazon fire,1.0,Will not connect to my wifi. I think you may as well send your money to your grandson or throw it in the wind. Total waste. From other reviews I can believe they are true. I also think it's a quality control issue. Maybe one in ten or so are like the one I have. JUNK.
expected,5.0,Its as I had expected it to be. The book is light and durable. I've dropped mine multiple times without damage. It's easy to operate with simple designed features.
Bummed!,3.0,NOT A TOUCH SCREEN AS ADVERTISED! I will be returning for that reason. The quality is decent and light weight.
"THIS DOES NOT support a stylus, as in the description when I purchased it",2.0,"It seems the description may have been updated, but when I contacted support, they directed me to buy a stylus (based on, apparently, their own reading of the description).  Of course it didn't work. This doesn't support a stylus, as I found out when I contacted support again to ask what I could possibly be doing wrong.  And, of course, I can't return it - I opened it, logged in, set it up.  Worst Amazon service ever.  I gave it 3 stars as it seems it does what it's supposed to now that the description has been updated."
Nice chromebook,4.0,"I am unable to get good access to my yahoo email account.  This is frustrating and unexpected, but all other features are great.  I would recommend this chromebook."
Great for School,5.0,"Due to covid, we were given the opportunity to buy a chromebook instead of borrowing one. This gets the job done."
Works great!,5.0,"This is a handy device to have to carry around if you need to access the internet for emails, browsing, etc.  It's small and lightweight, is quick and easy to use.  I like the quality of the build and the screen resolution is fine."
Great product,5.0,An amazing product. The only thing I didn't really like about the chrome book is the screen is a little dark
good for the price,4.0,It feels like it isn't going to fall apart on me but the screen quality could be better.  I do really love the ease of the keyboard.  I sometimes wish I could turn the volume up higher but I just put headphones on.
Can't send picture all wrapped up sorry.,1.0,IOut side it is spotless I cant tell you anything about inside. Have small problems until yesterday today I have had iti am done .between the computer and my brother passing away and my cancer(Vietnam veteran) thangs for your text.
Great other than the screen quality,4.0,This chromebook is the perfect size for me and has a really long battery life.  The only thing I don't like is that the screen isn't as sharp as I expected. That was disappointing coming from Samsung whose other products I've been extremely happy with.
8 year old birthday!!,5.0,I bought this for 8 year old Granddaughter. Perfect starter computer. Her dad had a friend to add extra protection for her online time. She will get to use it for school and she has Kid Messager so she can call me!
Stopped working and lost operating system,1.0,"I hardly had it a month and it stopped working completely.  Said it didn’t have an operating system at all and I needed to download one.  What?  This is horrible.  And it didn’t happen until past thirty days from purchase.  I bought it for my daughter’s birthday, so we didn’t use it until recently."
Not what I expected,2.0,"Couldn't connect to my Canon wireless printer without jumping thru hoops. Very selective with what apps it will download. Just not worth it. Getting tablet that is lighter, touch screen and more usable"
Packing process needs to be more thorough.,4.0,"Everything was delivered as advertised. The Chromebook works perfectly. However, the packaging left a lot to be desired. The compartment of the shipping box where the Chromebook was had a lot of extra space and the Chromebook slid around whenever the box was moved. There was no padding to protect the Chromebook during shipping. So many things could have damaged it while it was in transit. Fortunately, we got lucky and it arrived intact."
Calidad/ precio,4.0,"Mi especialista técnico dice que casi no tiene capacidad, ( no se les puede instalar programas pesados )sirve para que los niños tomen las clases por internet, para eso se compro. Calidad/ precio acorde."
This computer is a complete waste of money.,1.0,"WARNING!!! DO NOT  BUY THIS  PIECE OF JUNK!!! I simply turned on my computer one day out of warranty and saw a bunch of lines criss crossing the screen. The folks at Samsung decided it was damaged somehow by me.I swear on a stack of bibles that my computer was never dropped, had anything spilled on it or dropped anything on the top or bottom.Since my husband and I  live alone I guess we had a little elf living under the bed who wrecked my computer. Don't waste your hard earned money on this piece of junk. I sure wish I  hadn't."
Screen is awful at any angle,2.0,"As others have said, the screen sucks if looking at it even slightly off center."
Works Well,5.0,"Got this for my grandson, for third grade Distance Learning.  My son reported that it works very well and my grandson  is greatly enjoying it.  Note that it does NOT have a touch screen."
"Good Chromebook, mediocre display",4.0,"We bought two of these for homeschooling. The displays, as other reviews have said, are the worst thing about them. Wouldn't want to sit in front of one all day, but that's not how we use them. For having our kids do their Time4Learning lessons, they're fine. At this price point we've been very happy."
Great Device,5.0,"Even though it's small I love its performance and the availability of apps,  it's like a larger version of my phone and it's compatible with my Samsung Galaxy Smartphone. My suggestion is that you use a mouse with it instead of the mousepad it comes with."
Not completely satisfied,3.0,I would give 5 stars if it had one more USB port like the older version so I can charge my phone and still have a wireless mouse hooked up to it
Much better than other reviews I read,4.0,Biggest negative of the reviews I read was the display.  I have found the display to be more than acceptable.  This is a very nice Chromebook for the price.  I have no complaints.
Basic,4.0,"This Chromebook is for basic use, hence, why it’s so cheap. I bought it as a gift for someone and fortunately I know enough about computers to help them with the setup since it did not come with Chrome OS installed. Overall good buy. The screen isn’t the best but it does the job."
Mom was happy,5.0,Got this for my mother who is not tech savvy at all and she seems to be able to navigate through it fairly easily and she was really excited that I replaced her laptop of about 1 million years with this.
A great gift!,5.0,"I gifted this to my daughter, who needed something to use for internet accounts and surfing.  This was perfect and she is able to access things that she wasn't able to on her tablet."
Taotally Failed After 7 Months,1.0,My grandaughter was using the computer for her virtual schooling. It was great for the first 7 monthsand then today whil taking a break when she tried to log on there was no screen. It had power but the power button would not do anything. the blue power light was lit but nothing. absolutely nothin on the laptop. Have to buy a new on. It won't be this one.
Okay.,4.0,"This for the size really, really needs a touch screen.  It does have a USB A port, which was a pleasant surprise. Just received recently, so I'll update as time warrants."
Chromebook is my laptop of choice!,5.0,I like Samsung products and appreciate their craftsmanship. The Chromebook is easy to use. I like how it combines the best features of a pc and a Kindle. I chose wisely!
It works fine for its price but it does feel cheap,4.0,I was worried about screen quality based on other reviews but I haven't seen any specific issue.  It is fine for the price I paid for it but it still feels very cheap
Spec's and Processor Speed !,4.0,"I purchased , this Computer for my neices who's starting her 2 semester of College !  I didn't not test or play with this computer myself ! I "" hope it works ❤️‍🩹"
very poor image quality ... the materials are of poor quality.  If I could I would return it.,2.0,very poor image quality ... the materials are of poor quality.  If I could I would return it.
I love It!!,5.0,This is the best chromebook! So simple to use! It does everything I need to do. No windows to bother with!!! I definetely would buy this again!!! Great size too!! Very fast!
Very well built and user friendly,5.0,"I purchased for my mother who isn't great with electronics and computers. It's easy to use, very user friendly for someone just wanting to go on the internet. We've had one prior to this that was great easy to use to."
"lost in shipping, replaced quickly",4.0,"The original computer was lost in shipping. Amazon had us wait a few more days but then replaced the item quickly.  So far, very satisfied. this is the right purchase for my 4th grader"
Good computer for a novice computer user.,4.0,"I bought this computer for my mom, and it's been working well for her. It's simple and easy to use. The screen is rather small and difficult to see though. It's fuzzy, in a way. Not the best screen."
Very nice chrome book,4.0,Very nice little chrome book everything works as described and only $200 when I purchased. Only complaint is windows on it was already expired when I received it.
Look for something else.,2.0,Screen quality makes you feel like what I feel cataracts would be like.Battery life is great.
Ok,3.0,I'm a bit disappointed. The chromebook have two cracks/scrapes on it. The device overall is working but I'm a bit disappointed by those 2 ugly marks
Good buy - NOT a touch screen!,5.0,"Purchased as a gift for my granddaughter birthday, she love it. Even though it is NOT a touch screen this laptop is a good buy."
"Simple, quick, perfect!",5.0,"LOVE how fast this is compared to my older Samsung laptop. Does all I need with ease! Slight learning curve for me on the TouchPad, but overall I give this overall 5 stars. Screen is a little difficult to see clearly from all angles (to be expected). Great price, shipped quickly, still a Samsung fangirl after all 😉"
Not as described,1.0,"Item was not as described, several issues straight from the start. Listed as new, but was not, even after resetting, could not fix issues/wipe content from previous user, and several key settings/functions were inaccessable and/or disabled. Isn't worth the hassle to go through the return process, but wanted to make sure that others were aware of potential issues. Would not recommend this product."
Best bang for buck,5.0,I got the cheapest one.  Works great.  Screen is great.  Not sure what all the bad screen reviews are alluding to.  Would i buy it again?  In a heart beat.
It just dies,5.0,My son used this product about five times only for virtual school and it has just died. No downloads nothing. This thing is garbage.
"Ok, It works with Linux after enabling developer mode",3.0,So I had some difficulty getting Linux turned on ( enabled ) but did muddle through eventually. so it is working for me just fine
"Lightweight, but worth every penny",5.0,"I am using this product as a replacement of my older HP laptop. First off. Let me say, I love how light this is on my wrists. And how comfortable it is to use. So glad I made this purchase.If I can, I'll update with pictures!"
Do not buy this computer ',1.0,This item is not a touchscreen it is poor and service and  is only for anyone who is interested in writing a book please do not purchase this item it is not worth the price that you pay for it the screen is small the letters do not light up it's a piece of s*** you try to login you have to do like five to eight times before you can actually get into the system do not buy this item it is crap again I say do not buy this item it is crap
Fast enough for my needs,5.0,Replaced a Asus C213S. Miss the extra USB C charge port and Touch screen but like this Samsung better otherwise.
OK chromebook,4.0,"Just a little too small for me, bought it for someone else and the type is hard to set to a readable size."
display resolution and viewing angle are bad,3.0,I bought it as a streaming device and for news watching. The processor speed seems to do good.Unfortunately the screen resolution is not high and the the angle to look at the screen is highly limited.
Battery stopped holding charge after 3 months,1.0,I bought this product new only three months ago and the battery has already stopped charging. Previous models took two years to develop that problem.
Not so great buy,2.0,Bought his recently for distance learning and has not been working out too well.  Zoom sessions are gargled no matter where we have connected the laptop.
"Great computer, bad product purchase description",4.0,"Only thing I'm disappointed about is the lack of upfront clarity about it not being a touch screen.It's small and compact and is king of battery life, I've had it for about a month use it excessively for school in the evening and I've only charged it twice. Neither time it really needed it."
Good battery life but trackpad and power buttons not sensitive,5.0,"I only charged it for 3h when I first received it, and it had lasted for around 11h! The trackpad is not sensitive, so I will recommend users to use mouse instead. power on/off button is not sensitive as well. Better to keep it locked and hibernated instead."
Great laptop,5.0,I am extremely happy with this laptop.  My grandson uses it for virtual school and it is perfect for that.
Great buy,5.0,Great exactly what children need for remote school small sleek easy yo carry great price great quality
Giant smart phone.,1.0,"I wanted a new computer. I thought the chromebook would be just the thing. Little did I know this was a giant smart phone. When I saved stuff, POOF, disappears, and can't find my files. Tree filestructure is non-existent, so you can't save where you can find it again."
"The difference between Chromebook and a ""regular notebook",3.0,I didn't know rhe difference between chromebook and Windows.  Wish I'd known...prefer Windows because I m Moore familiar with it.
Works as described,5.0,got it on a sale for ~$160...great value for money.  most of our life is internet-based these days.
No touch screen,3.0,", we didn't realize it did not have touch screen. Will add to review once it actually gets used."
So Disappointed in this Purchase,1.0,HDMI port doesn’t work. So disappointed. Only reason I got it was to mirror to TV. I never would have bought this had I known it wasn’t capable of the one feature I needed it for.
Stopped working after 1 month,1.0,Won't power on.
Great laptop,5.0,"Works great, fast shipping"
Love the long battery life!,4.0,Very nice.  Love the long battery life! That's why I got it.  Would have gotten five stars if it had CD capacity.
10 Month Lifespan?!,1.0,This was a great product until it died after only 10 months. The photo shows all it will do now. Very disappointed.
good laptop bad wifi,4.0,"Long battery life, nice and compact...internet constantly drops out"
Great,5.0,"Delivered quickly and is easy for me to use.  Note, I am NOT a computer whiz!"
DONT BUY THIS POS ITS NOT GOOD FOR ANYTHING,1.0,I tried to cancel the order they sent it a day early and now I see why this is not a computer this is not a laptop it's not a table it a phone with a keyboard it's maybe worth 100 bucks not worth the money
Very nice!,5.0,It took me a little time to get used to it and know  have no problem.
Really bad screen quality,2.0,"Its really hard to get past how bad the screen quality is, its like a computer from 2012."
Excelente to engineering your work..,5.0,"All is excellent for the office, school, house work and everything else 😀 👌"
Waste of Money,3.0,I bought this laptop because it was cheap and I didn't know how bad Chrome OS was. There is almost nothing I can do but web surfing. Nothing's compatible.. Don't use Google products. You become a tester.
Still figuring it out.,5.0,"Still figuring it out.Very unhappy with Chromebook,and disappointed.Seeking return."
I LOVE THIS LAPTOP,5.0,"So easy to use, take up little space, and is lightweight for travel!"
Junk,1.0,It worked for about a day after I finally used it then I got sick and didn't send it back.
Nice chromebook!,5.0,"Vety happy with my cgromebook so far, no problems to mention."
Good price point,5.0,Really nice for students and for the weekend  laptop user.
Super easy and lightweight,5.0,Love how much I can do with so little. Great camera and microphone for Zoom
Esencialmente producto,5.0,Buena duración de batería imágenes buena calidad
Quick updates,5.0,I always liked Samsung products.  Great service by Amazon
great for school,5.0,"bought for daughter starting college, she loves it!"
Perfect for me,5.0,This is exactly what I needed to replace the dinosaur of a laptop that I had been using.
Kids haven't killed them yet,5.0,Kids seem to love them and they use them alot
Good buy,5.0,Perfect for online learning! Long battery life and easy to use.
Great Value,5.0,I love this laptop so far! It came packaged well and in a day! Needed something that would last but also didn’t cost too much since we already have two MacBooks. Definitely would recommend this to anyone looking.
Great value compitant little computer,5.0,Its a great computer for the money.  Switching from Mac it was not too hard to get used to chrome and its about a 4th of the price.  Gaming is limited seeming but it runs freedom and Minecraft
Easy to use,5.0,It was easy to set up as I was already using Chrome.  Everything was there.  I love it!!
Google is my best friend,5.0,Love! Love! Love! It’s very easy to use. And we use ours all the time so far so good !
Great Product & Price,5.0,Well Pleased great product & pricing!
Good quality.,5.0,"My teenager is very fond of the screen quality, battery life and of course the mobility."
Worst purchase ever!,1.0,Not easy too figure out. Constantly gives me typing issues. Doesn't easily sync with new devices.  Terrible volume.I assumed with the other reviews and it being a Samsung it would be great. But it isn't.  And I can't even return it. Also I'm pretty sure it's a refurbished product.
Poor Screen Quality,1.0,I have a 5 year old  Samsung  Chromebook.  I turned on the new computer and the screen quality was  WORSE than the old computer !!!  the old computer has 2gb of ram and the new one  had  6gb of ram.
Small and Compact,5.0,This is perfect for what i need
Display lags,3.0,When I'm typing I'll sometimes write a whole line before any of the text appears on my screen.
I want the laptop to be replace,1.0,I purchased this laptop in June 2020 and the laptop stopped working. November 2020
Nice unit,5.0,This is a nice Chromebook
My son loves it,5.0,My son loves his chrome book and I think I love it even more than my MacBook
"Waste of Money, Very Poor Quality!!!",1.0,"bought 3 of these for distance learning, within 2 days 1 screen died and was not usable, within 3 weeks wall charger stopped working on a different one. Very poor quality from Samsung seems to be the new normal, would not buy or recommend to anyone that they do buy, Leveno Dell and HP are better bet for the money"
Reliable,5.0,This is my second chromebook and happy happy with them both.
Good laptop/RIP to charging it,3.0,Great laptop so far for basic work/school stuff. But now it isn’t charging and I have had it less than 2 months
Computer,5.0,Daughter loves this gift
Good,5.0,Need microsoft word
It don't work,1.0,This first day I got this computer the functional key would not work my email password it won't take it I has wifi the first go around next it would not connect to wifi  I am very disappointed in this computer.
I expected a little more than I got but it is alright.,4.0,"It doesn't always meet my needs but it is alright.  Screen quality is fine, touch screen is fine & battery life is very good.  I am unable to adjust the sound, however.  It is too low."
Samsung Chromebook,1.0,too! Jumping for me to use
Decent for the price,4.0,Doesn't have USB ports.  It's OK for basic work and online meetings.
Sincs with Samsung phone,5.0,Excellent value.
It will crap out in 2 months,1.0,Absolutely the worst thing I have bought from Amazon. Do NOT buy!!
Good Computer.,5.0,Great computer. Gets the job done. Very affordable
Perfect for what we need,5.0,This is a great product if you’re looking to use Google formats. Starts up quick and really easy to use.
It allllllllllll good thanks 😊😊😀,5.0,Thank you very much 😊 I'm very happy with this laptop I liked it so much I ordered another one.
Good quality,5.0,"I really love it! I wasn't sure what to expect, but it is better then I expected. It's fast and easy to use."
Lesson learned after purchasing.,2.0,Volume does not go high enough. Difficult using mouse pad with no right click. Wish screen quality was better.
Great value,5.0,Great value
Battery lasts forever on a single charge,5.0,Works well and dependable
"nice, quality",5.0,Good
Not a touchscreen,5.0,Returned to get next model up with touch screen
Not as good a the chrombook 3,3.0,"The previous version was stronger, I'm no longer going to be loyal to this line of chromebooks"
No Microsoft office.,2.0,I brought this for my 13 year old. The computer  is solid and its complicated for even adults. No Microsoft office . Very disappointed with Samsung on this product.
Good but some softwares don’t work on it,3.0,Good overall but the sole purpose of me buying was to do Remote Desktop for one of my VAs and RD doesn’t work on a chrome book so just FYI.
no review deserved,1.0,"Arrived broken and no one will replace it for me, despite ongoing attempts over many weeks! Part of doing good business is providing a product that works - it's called integrity."
im korean,5.0,good
the best computer i love it,5.0,"this is prob the best computer i have ever had it charges relly fast and the screen quality is a lot better then the other reviews say, if there was a over 5 star rateing i would defadently chouse it, the onley flaw is that is is a little bit smaller then it said but that was not a problem for me!"
Love our laptop,5.0,My kids use this laptop for school and they love it!!  Very reliable and efficient!!!
Basic,4.0,"Speaker volume is weak, but I’m in a house full of kids all day so maybe that’s user error. It does a fine job."
Excellent value for the product,4.0,Can not get a better deal for a Chromebook with 6gb memory 64gb storage for the price I paid
perfect,5.0,MY GRANDSON LOVES IT...
"So far, so good.",5.0,"I've only had this a couple months but so far, it's great especially for the price."
Happy Chromebook Owner,5.0,This Chromebook does not have a touchscreen. That's ok. I have had it about a month. Does everything I need.
Too small,1.0,Too small for big hands. Got only half my cost back when returning it. Would not recommend the supplier.
Chromebook,5.0,Wife loves it
The price was right.,4.0,"This lap top is very good for what I need it for. It easy to use and is lightweight. The battery life, the sound and the image is very good. This one was recommanded to me and I am glad that I went with it."
It's small and light. Perfect for taking with you on the go,5.0,"I use this laptop for school assignments and it works great. I've yet to download any games, etc. So as of now, I'm satisfied"
Picture quality could be better,4.0,Great Chromebook good storage nice. Size and can't beat the price just wish the screen picture quality was clearer and brighter
Cute and portable,4.0,Purse side love it
Mostly great,5.0,Toch screen is slow
All great,5.0,All good so I bought another one
Bought as a xmas gift,5.0,Bought as a gift for someone else. They love it. No complaints.
Great buy.,4.0,"Package arrived in excellent condition, works really well and does everything as it was advertised to do."
Overall its a good product🤔,3.0,Too basic... Said it was touch screen and wasn't. But for the overall price.... What could one say???
Me gustaria comprar la garantia,5.0,La compre para mí esposo hace unos meses y funciona bien como se espera pero ahora quisiera comprarle la garantía y no se si se puede.?!!
"some of the letter on the keyboard are not working, what can you help me?",1.0,I like the laptop but the keyboard is not function some of the key.should I return to get a replacement?
Buy now!,5.0,Very happy with my purchase. Came 2 weeks earlier than expected.
Trash didnt last 3 months do not buy!!!,1.0,Didnt last 3 months ! Absolute garbage.
Risky Business,1.0,This computer was the replacement for the first one I purchased. Both had identical issues with the system crashing after about an hour of operation. Buy at your own risk.
Good basic chromebook.,5.0,"Good battery life, long time until software expires"
They are 7 months old and do not work,1.0,"I bought this computer in March, and two days ago it stopped working, without any sign of operation. Can it be replaced? It is only 7 months old."
The volume sucks,1.0,The volume sucks brought Chromebook for video meetings. Audio terrible keep going out. Not satisfied with purchase.
Like it,5.0,Love my new computer
So far..,5.0,So far so good( 3 weeks)
Fair price,4.0,The manual isn't that great. Do like the look and weight of this device. Speed is great
battery length is isufficient,4.0,see above also v ertical movement of emails almosti mpossible.  I would not buy tjhis ag
Exactly what I needed,5.0,"Great, long battery life.  Screen is what you pay for, but does what I need it to do. Extremely pleased with this purchase."
The best,4.0,I love it.
Keyboard stopped working,2.0,Keyboard stopped working after 2 weeks of use.
It does what I need it for.,3.0,Screen view isn't the best
Super fast delivery,5.0,"I was told the earliest arrival would be the 19th, regular expected delivery 21st-26th, but it arrived the 15th....JUST IN TIME FOR THE 1st day of high school for my little freshman"
Super cool brand new application is super easy to use and is samsung  whT else would u spect,5.0,I love love love my baby she's awesome
Good quality,5.0,Very pleased
Terrible audio cannot hear,1.0,Terrible audio not touch screen as described
Don't purchase if you want to use it for Dexcom G6,3.0,It's great for the internet.  Compact and light.
Great buy,5.0,"Perfect for basic computing needs. Typing documents, surf the web,stream tv videos, etc. In grad school, does everything i need it to do for a great affordable price."
A good deal,5.0,Ease of use. Fast startup.
Perfect size,5.0,Perfect for home use where I don't need a full on computer.  Sterdy design and I love the USB-C charge port.
"Straight forward, get what you pay for laptop.",4.0,"Great for work at home, no frills computing."
My granddaughter need it for school,5.0,"First I thought that I couldn't use the Chromebook, but I can use it, so please disregard me request to return this item."
"No touch screen, speaker on bottom",1.0,"Not what I expected. Speaker is on the bottom and screen settings are crazy. Plus, it was dead on arrival. Im returning. Not my greatest purchase. No touch screen"
Nice unit not for me,3.0,Just too hard to set upMy problem
Get what you pay for,3.0,It's decent. Good low price chromebook for school and whatever.
Great chromebook,5.0,Great device. Works well and does everything a chrome book should.
Junk,1.0,This thing broke after one week and cost more to fix it than what I paid for it. If your going to buy a laptop save yourself the money and just buy a better one than this.
Smart TV,2.0,"Does not have an Amazon app.  You can get Netflix on the smart tv, but not Amazon.  No Amazon app."
No me gustó,1.0,Me gusta mucho pero no trae para ingresar una memoria de cámara no es pantalla táctil no trae para actualizar
"Fast delivery, good price",5.0,Exactly as advertised
UNSAFE  BATTERY -,1.0,Unsafe battery - chromebook not working after just 6-7 months.  Cannot find a replacement battery.
Slow moving Chromebook.,3.0,The picture isn't what I'd expect from Samsung and it wasn't very fast
"Not a touchscreen though advertised as ""Touchscreen with Stylus Support""",1.0,"It is described as Touchscreen with Stylus Support"" and it isn't a touchscreen. Really annoying."
Great Quality,5.0,"It’s great quality, and it works like a charm. It has a good battery life as well, and amazing screen quality."
Delivered on time.,4.0,Product is a wonderful help in our household. Delivery was on time and very much appreciated.
great price!,5.0,This computer is very light weight and great for the price i love it so far!!!! my kids keep taking it over
Perfect.,4.0,I love this piece. Just like the way I want it.
Couldnt do anything,2.0,This laptop couldn't do anything I bought it for. Definitely better for students and such
Kid friendly for school,5.0,Great quality and works well. Easy to use
